Nume*;Email*;Județ*;Localitate*;Adresă*;Cod poștal*;Criterii de admitere*;Preț*;Servicii* - multiple;Categorii de îngrijire - multiple;Previzualizare imagine;Siglă cămin;Link video;Substituent video;Galerie imagini - multiple;Descriere scurtă*;Descriere*
"Camin De Batrani Sfintii Sava Si Teodosie Cel Mare";;;;"Strada Cozieni nr. 2, oras Pantelimon, Ilfov, Pantelimon, Ilfov";;;;;;https://www.batranifericiti.ro/photos/companies/camin-de-batrani-sfintii-sava-si-teodosie-cel-mare-photo-1.jpg;;;;"https://www.batranifericiti.ro/photos/companies/camin-de-batrani-sfintii-sava-si-teodosie-cel-mare-photo-1.jpg, https://www.batranifericiti.ro/photos/companies/camin-de-batrani-sfintii-sava-si-teodosie-cel-mare-photo-2.jpg, https://www.batranifericiti.ro/photos/companies/camin-de-batrani-sfintii-sava-si-teodosie-cel-mare-photo-3.jpg, https://www.batranifericiti.ro/photos/companies/camin-de-batrani-sfintii-sava-si-teodosie-cel-mare-photo-4.jpg, https://www.batranifericiti.ro/photos/companies/camin-de-batrani-sfintii-sava-si-teodosie-cel-mare-photo-5.jpg, https://www.batranifericiti.ro/photos/companies/camin-de-batrani-sfintii-sava-si-teodosie-cel-mare-photo-6.jpg, https://www.batranifericiti.ro/photos/companies/camin-de-batrani-sfintii-sava-si-teodosie-cel-mare-photo-7.jpg, https://www.batranifericiti.ro/photos/companies/camin-de-batrani-sfintii-sava-si-teodosie-cel-mare-photo-8.jpg, https://www.batranifericiti.ro/photos/companies/camin-de-batrani-sfintii-sava-si-teodosie-cel-mare-photo-9.jpg, https://www.batranifericiti.ro/photos/companies/camin-de-batrani-sfintii-sava-si-teodosie-cel-mare-photo-10.jpg, https://www.batranifericiti.ro/photos/companies/camin-de-batrani-sfintii-sava-si-teodosie-cel-mare-photo-11.jpg, https://www.batranifericiti.ro/photos/companies/camin-de-batrani-sfintii-sava-si-teodosie-cel-mare-photo-12.jpg";;
"Fundația Sfântul Ioan Rusul";;;;"Str.Morii, Nr.85, Jilava, Ilfov";;;;;;https://www.batranifericiti.ro/photos/companies/fundatia-sfantul-ioan-rusul-photo-1.jpg;;;;"https://www.batranifericiti.ro/photos/companies/fundatia-sfantul-ioan-rusul-photo-1.jpg, https://www.batranifericiti.ro/photos/companies/fundatia-sfantul-ioan-rusul-photo-2.jpg, https://www.batranifericiti.ro/photos/companies/fundatia-sfantul-ioan-rusul-photo-3.jpg, https://www.batranifericiti.ro/photos/companies/fundatia-sfantul-ioan-rusul-photo-4.jpg, https://www.batranifericiti.ro/photos/companies/fundatia-sfantul-ioan-rusul-photo-5.jpg, https://www.batranifericiti.ro/photos/companies/fundatia-sfantul-ioan-rusul-photo-6.jpg, https://www.batranifericiti.ro/photos/companies/fundatia-sfantul-ioan-rusul-photo-7.jpg, https://www.batranifericiti.ro/photos/companies/fundatia-sfantul-ioan-rusul-photo-8.jpg";;
"Ansamblul Social Creștin Măgurele- Casa Iacov, Casa Corina";;;;"șos. București - Măgurele, Nr. 64 A, Bucuresti, Bucuresti";;;;;;https://www.batranifericiti.ro/photos/companies/ansamblul-social-crestin-magurele-casa-iacov-casa-corina-photo-1.jpg;;;;https://www.batranifericiti.ro/photos/companies/ansamblul-social-crestin-magurele-casa-iacov-casa-corina-photo-1.jpg;;
"Family Care";;;;"Str. Erou Iancu Nicolae nr 109, A3, Voluntari, Ilfov";;;;;;https://www.batranifericiti.ro/photos/companies/family-care-photo-7.jpg;https://www.batranifericiti.ro/photos/companies/family-care-logo.jpg;;;"https://www.batranifericiti.ro/photos/companies/family-care-photo-7.jpg, https://www.batranifericiti.ro/photos/companies/family-care-photo-8.jpg, https://www.batranifericiti.ro/photos/companies/family-care-photo-9.jpg, https://www.batranifericiti.ro/photos/companies/family-care-photo-10.jpg, https://www.batranifericiti.ro/photos/companies/family-care-photo-11.jpg";;
"Conacul Din Voluntari";;;;"blvd Voluntari nr 80, Voluntari, Ilfov";;;;;;https://www.batranifericiti.ro/photos/companies/conacul-din-voluntari-photo-17.jpg;;;;"https://www.batranifericiti.ro/photos/companies/conacul-din-voluntari-photo-17.jpg, https://www.batranifericiti.ro/photos/companies/conacul-din-voluntari-photo-18.jpg, https://www.batranifericiti.ro/photos/companies/conacul-din-voluntari-photo-19.jpg, https://www.batranifericiti.ro/photos/companies/conacul-din-voluntari-photo-20.jpg, https://www.batranifericiti.ro/photos/companies/conacul-din-voluntari-photo-21.jpg";;
"Raiul Bunicilor";;;;"str. Campului nr.23, Tunari, Ilfov";;;;;;https://www.batranifericiti.ro/photos/companies/raiul-bunicilor-photo-1.jpg;https://www.batranifericiti.ro/photos/companies/raiul-bunicilor-logo.jpg;;;"https://www.batranifericiti.ro/photos/companies/raiul-bunicilor-photo-1.jpg, https://www.batranifericiti.ro/photos/companies/raiul-bunicilor-photo-2.jpg, https://www.batranifericiti.ro/photos/companies/raiul-bunicilor-photo-3.jpg, https://www.batranifericiti.ro/photos/companies/raiul-bunicilor-photo-4.jpg, https://www.batranifericiti.ro/photos/companies/raiul-bunicilor-photo-5.jpg, https://www.batranifericiti.ro/photos/companies/raiul-bunicilor-photo-6.jpg, https://www.batranifericiti.ro/photos/companies/raiul-bunicilor-photo-7.jpg, https://www.batranifericiti.ro/photos/companies/raiul-bunicilor-photo-8.jpg, https://www.batranifericiti.ro/photos/companies/raiul-bunicilor-photo-9.jpg";;
"Casa Del Santos";;;;"Strada Ștefănești Nr. 92-94, Ștefăneștii De Jos, Ilfov";;;;;;https://www.batranifericiti.ro/photos/companies/casa-del-santos-photo-7.jpg;;;;"https://www.batranifericiti.ro/photos/companies/casa-del-santos-photo-7.jpg, https://www.batranifericiti.ro/photos/companies/casa-del-santos-photo-2.jpg, https://www.batranifericiti.ro/photos/companies/casa-del-santos-photo-10.jpg, https://www.batranifericiti.ro/photos/companies/casa-del-santos-photo-12.jpg, https://www.batranifericiti.ro/photos/companies/casa-del-santos-photo-5.jpg, https://www.batranifericiti.ro/photos/companies/casa-del-santos-photo-3.jpg, https://www.batranifericiti.ro/photos/companies/casa-del-santos-photo-6.jpg, https://www.batranifericiti.ro/photos/companies/casa-del-santos-photo-8.jpg, https://www.batranifericiti.ro/photos/companies/casa-del-santos-photo-1.jpg, https://www.batranifericiti.ro/photos/companies/casa-del-santos-photo-4.jpg, https://www.batranifericiti.ro/photos/companies/casa-del-santos-photo-9.jpg, https://www.batranifericiti.ro/photos/companies/casa-del-santos-photo-14.jpg, https://www.batranifericiti.ro/photos/companies/casa-del-santos-photo-11.jpg, https://www.batranifericiti.ro/photos/companies/casa-del-santos-photo-13.jpg";;
"Azilul De Bătrâni Don Orione";;;;"Bd. Eroilor 124-126, Voluntari, Ilfov";;;;;;https://www.batranifericiti.ro/images/logo-default.png;;;;;;
"Căminul De Bătrâni Acasă La Bunici";;;;"Bld.pieptanari Nr.66a, Sector 5, Bucuresti, Bucuresti, Bucuresti";;;;;;https://www.batranifericiti.ro/images/logo-default.png;;;;;;
"Căminul De Bătrâni Armonia";;;;"Str. Amintirii Nr. 43a (podul Constanţa, Şos. Chitila), Bucuresti, Bucuresti";;;;;;https://www.batranifericiti.ro/images/logo-default.png;;;;;;
"Căminul De Bătrâni Casa Sfânta Maria";;;;"Str. Costache Radu, Nr. 7a, Voluntari, Ilfov";;;;;;https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-casa-sfanta-maria-photo-1.jpg;;;;"https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-casa-sfanta-maria-photo-1.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-casa-sfanta-maria-photo-2.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-casa-sfanta-maria-photo-3.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-casa-sfanta-maria-photo-4.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-casa-sfanta-maria-photo-5.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-casa-sfanta-maria-photo-6.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-casa-sfanta-maria-photo-7.jpg";;
"Căminul De Bătrâni Duras Diurpaneus";;;;"Str. Decebal Nr. 9, Voluntari, Ilfov";;;;;;https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-duras-diurpaneus-photo-1.jpg;;;;"https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-duras-diurpaneus-photo-1.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-duras-diurpaneus-photo-2.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-duras-diurpaneus-photo-3.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-duras-diurpaneus-photo-4.jpg";;
"Căminul De Bătrâni Floriana House";;;;"Str. Intrarea Potcoavei Nr. 25, Voluntari, Ilfov";;;;;;https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-floriana-house-photo-1.jpg;;;;"https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-floriana-house-photo-1.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-floriana-house-photo-2.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-floriana-house-photo-3.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-floriana-house-photo-4.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-floriana-house-photo-5.jpg";;
"Căminul De Bătrâni Ideal";;;;", Tunari, Ilfov";;;;;;https://www.batranifericiti.ro/images/logo-default.png;;;;;;
"Căminul De Bătrâni Mirco House";;;;"Strada Campului 23, Tunari, Ilfov";;;;;;https://www.batranifericiti.ro/images/logo-default.png;;;;;;
"Căminul De Bătrâni Sf Prooroc Ilie";;;;"Str. Petalelor, Nr 9b, Balotesti, Ilfov";;;;;;https://www.batranifericiti.ro/images/logo-default.png;;;;;;
"Căminul Pentru Persoane Vârstnice Academician Nicolae Cajal";;;;"Str. Maximilian Popper Nr. 17, Sector 3, Bucuresti, Bucuresti";;;;;;https://www.batranifericiti.ro/photos/companies/caminul-pentru-persoane-varstnice-academician-nicolae-cajal-photo-1.jpg;;;;https://www.batranifericiti.ro/photos/companies/caminul-pentru-persoane-varstnice-academician-nicolae-cajal-photo-1.jpg;;
"Casa Bunicilor";;;;"Gruiu, Str. Bisericii Nr.8, Gruiu, Ilfov";;;;;;https://www.batranifericiti.ro/images/logo-default.png;;;;;;
"Centrul De Asistență și îngrijire Bătrâni Geromed";;;;"Popesti Leordeni, Sos. Oltenitei, Nr. 32c, Judetul Ilfov, Popesti-Leordeni, Ilfov";;;;;;https://www.batranifericiti.ro/photos/companies/centrul-de-asistenta-si-ingrijire-batrani-geromed-photo-1.jpg;;;;"https://www.batranifericiti.ro/photos/companies/centrul-de-asistenta-si-ingrijire-batrani-geromed-photo-1.jpg, https://www.batranifericiti.ro/photos/companies/centrul-de-asistenta-si-ingrijire-batrani-geromed-photo-2.jpg, https://www.batranifericiti.ro/photos/companies/centrul-de-asistenta-si-ingrijire-batrani-geromed-photo-3.jpg";;
"Manor Elderly Care House";;;;"Str. Frasari, Nr. 20, Pipera-Voluntari, Ilfov";;;;;;https://www.batranifericiti.ro/photos/companies/manor-elderly-care-house-photo-3.jpg;https://www.batranifericiti.ro/photos/companies/manor-elderly-care-house-logo.jpg;;;"https://www.batranifericiti.ro/photos/companies/manor-elderly-care-house-photo-3.jpg, https://www.batranifericiti.ro/photos/companies/manor-elderly-care-house-photo-1.jpg, https://www.batranifericiti.ro/photos/companies/manor-elderly-care-house-photo-2.jpg, https://www.batranifericiti.ro/photos/companies/manor-elderly-care-house-photo-6.jpg, https://www.batranifericiti.ro/photos/companies/manor-elderly-care-house-photo-4.jpg, https://www.batranifericiti.ro/photos/companies/manor-elderly-care-house-photo-5.jpg, https://www.batranifericiti.ro/photos/companies/manor-elderly-care-house-photo-7.jpg, https://www.batranifericiti.ro/photos/companies/manor-elderly-care-house-photo-8.jpg, https://www.batranifericiti.ro/photos/companies/manor-elderly-care-house-photo-9.jpg";;
"Reședința Victoria";;;;"Aleea Meteorologiei, Nr.21 D, Bucuresti, Bucuresti";;;;;;https://www.batranifericiti.ro/photos/companies/resedinta-victoria-photo-7.jpg;;;;"https://www.batranifericiti.ro/photos/companies/resedinta-victoria-photo-7.jpg, https://www.batranifericiti.ro/photos/companies/resedinta-victoria-photo-4.jpg, https://www.batranifericiti.ro/photos/companies/resedinta-victoria-photo-9.jpg, https://www.batranifericiti.ro/photos/companies/resedinta-victoria-photo-3.jpg, https://www.batranifericiti.ro/photos/companies/resedinta-victoria-photo-8.jpg, https://www.batranifericiti.ro/photos/companies/resedinta-victoria-photo-10.jpg, https://www.batranifericiti.ro/photos/companies/resedinta-victoria-photo-2.jpg, https://www.batranifericiti.ro/photos/companies/resedinta-victoria-photo-11.jpg";;
"Premier Family House";;;;"Str. Maracineni, Nr. 91, Bragadiru, Ilfov";;;;;;https://www.batranifericiti.ro/images/logo-default.png;;;;;;
"Casa Dany & Ionut";;;;"Şos. Bucuresti-urziceni, Nr. 272, Afumati, Ilfov";;;;;;https://www.batranifericiti.ro/images/logo-default.png;;;;;;
"Caminul de Batrani Sfantul Vasile";;;;"Str. Sfantul Gheorghe, Nr. 9, Afumati, Ilfov";;;;;;https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-sfantul-vasile-photo-2.jpg;;;;"https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-sfantul-vasile-photo-2.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-sfantul-vasile-photo-4.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-sfantul-vasile-photo-1.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-sfantul-vasile-photo-6.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-sfantul-vasile-photo-3.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-sfantul-vasile-photo-5.jpg";;
"Centrul De Ingrijire Varstnici Grepomed";;;;"Str. August, Nr. 33, Jilava, Ilfov";;;;;;https://www.batranifericiti.ro/images/logo-default.png;;;;;;
"Senior Medcenter";;;;"Vlad Ţepes, Nr. 14, Pipera-Voluntari, Ilfov";;;;;;https://www.batranifericiti.ro/photos/companies/senior-medcenter-thumbnail.jpg;;;;;;
"Camin Batrani Sf. Cuvioasa Parascheva";;;;"Cal. Giulesti, Nr. 471A, Bucuresti, Bucuresti";;;;;;https://www.batranifericiti.ro/images/logo-default.png;;;;;;
"Centrul de ingrijire batrani Ariminia";;;;"Şos. Clinceni-Ordoreanu, Nr. 61, Clinceni, Ilfov";;;;;;https://www.batranifericiti.ro/photos/companies/centrul-de-ingrijire-batrani-ariminia-photo-6.jpg;;;;"https://www.batranifericiti.ro/photos/companies/centrul-de-ingrijire-batrani-ariminia-photo-6.jpg, https://www.batranifericiti.ro/photos/companies/centrul-de-ingrijire-batrani-ariminia-photo-12.jpg, https://www.batranifericiti.ro/photos/companies/centrul-de-ingrijire-batrani-ariminia-photo-5.jpg, https://www.batranifericiti.ro/photos/companies/centrul-de-ingrijire-batrani-ariminia-photo-9.jpg, https://www.batranifericiti.ro/photos/companies/centrul-de-ingrijire-batrani-ariminia-photo-10.jpg, https://www.batranifericiti.ro/photos/companies/centrul-de-ingrijire-batrani-ariminia-photo-8.jpg, https://www.batranifericiti.ro/photos/companies/centrul-de-ingrijire-batrani-ariminia-photo-2.jpg, https://www.batranifericiti.ro/photos/companies/centrul-de-ingrijire-batrani-ariminia-photo-4.jpg, https://www.batranifericiti.ro/photos/companies/centrul-de-ingrijire-batrani-ariminia-photo-3.jpg, https://www.batranifericiti.ro/photos/companies/centrul-de-ingrijire-batrani-ariminia-photo-7.jpg";;
"Caminul Sf. Dumitru";;;;"Str. Salciei, Nr. 52-54, Bragadiru, Ilfov";;;;;;https://www.batranifericiti.ro/photos/companies/caminul-sf-dumitru-photo-15.jpg;https://www.batranifericiti.ro/photos/companies/caminul-sf-dumitru-logo.jpg;;;"https://www.batranifericiti.ro/photos/companies/caminul-sf-dumitru-photo-15.jpg, https://www.batranifericiti.ro/photos/companies/caminul-sf-dumitru-photo-8.jpg, https://www.batranifericiti.ro/photos/companies/caminul-sf-dumitru-photo-2.jpg, https://www.batranifericiti.ro/photos/companies/caminul-sf-dumitru-photo-5.jpg, https://www.batranifericiti.ro/photos/companies/caminul-sf-dumitru-photo-3.jpg, https://www.batranifericiti.ro/photos/companies/caminul-sf-dumitru-photo-4.jpg, https://www.batranifericiti.ro/photos/companies/caminul-sf-dumitru-photo-7.jpg, https://www.batranifericiti.ro/photos/companies/caminul-sf-dumitru-photo-6.jpg, https://www.batranifericiti.ro/photos/companies/caminul-sf-dumitru-photo-13.jpg, https://www.batranifericiti.ro/photos/companies/caminul-sf-dumitru-photo-1.jpg, https://www.batranifericiti.ro/photos/companies/caminul-sf-dumitru-photo-10.jpg, https://www.batranifericiti.ro/photos/companies/caminul-sf-dumitru-photo-9.jpg, https://www.batranifericiti.ro/photos/companies/caminul-sf-dumitru-photo-11.jpg, https://www.batranifericiti.ro/photos/companies/caminul-sf-dumitru-photo-14.jpg";;
"Camin De Batrani Colentina";;;;"Str. Sportului, Nr. 11, Bucuresti, Bucuresti";;;;;;https://www.batranifericiti.ro/photos/companies/camin-de-batrani-colentina-photo-2.jpg;;;;"https://www.batranifericiti.ro/photos/companies/camin-de-batrani-colentina-photo-2.jpg, https://www.batranifericiti.ro/photos/companies/camin-de-batrani-colentina-photo-4.jpg, https://www.batranifericiti.ro/photos/companies/camin-de-batrani-colentina-photo-1.jpg, https://www.batranifericiti.ro/photos/companies/camin-de-batrani-colentina-photo-8.jpg, https://www.batranifericiti.ro/photos/companies/camin-de-batrani-colentina-photo-7.jpg, https://www.batranifericiti.ro/photos/companies/camin-de-batrani-colentina-photo-5.jpg, https://www.batranifericiti.ro/photos/companies/camin-de-batrani-colentina-photo-3.jpg, https://www.batranifericiti.ro/photos/companies/camin-de-batrani-colentina-photo-9.jpg";;
